id,task,kind,method,acceptance,status,evidence
G14,T14,automated,任务卡指定实际检查,ctest -L recovery；对象/提案/发布/run每个边界中断，损坏和库缺失状态明确。,not_run,
G15,T15,automated,任务卡指定实际检查,ctest -L dsp及应用内真实candidate suite；P01–P06保存原始double数据和独立oracle对照。,not_run,
G16,T16,automated,任务卡指定实际检查,ctest -L analysis、P10及真实workflow；raw/preview/metadata/report来源hash一致。,not_run,
G17,T17,mixed,任务卡指定实际检查,ctest -L audio；P06–P09人工清单含10min耗时、underrun、Live/FL版本和host退出独立播放。,not_run,
G18,T18,mixed,任务卡指定实际检查,win-debug/win-release全CTest，E2E，A01–A18/P01–P10/G00–G18；准确报告剩余人工项。,not_run,
A01,T18,mixed,真实dist换目录启动,C++ binaries脱离旧TS服务/Node/Python运行，路径不硬编码,not_run,
A02,T08,mixed,真实MCP客户端与协议fixture,initialize/list/call/错误/取消，无stdout污染,not_run,
A03,T09,manual,agent生成普通项目并VS F5,实际断点命中和变量观察，不是仅截图源码,not_run,
A04,T09,manual,用户框架后agent补全,白名单/marker/public接口保持，用户可继续debug,not_run,
A05,T09,mixed,提案基线过时冲突,全部apply拒绝，不覆盖任何较新用户文件,not_run,
A06,T10,mixed,三suite和伪造fixture,真实运行；stdout PASS/退出非零/未执行不能passed,not_run,
A07,T05,mixed,model/review/validator负向请求,model不能批准发布扩权，UI不能把failed改passed,not_run,
A08,T11,mixed,批准后换源码/依赖/binary/permission,旧批准不可用于新内容，重复请求不再次发布,not_run,
A09,T11,mixed,W1发布后W2绑定并删除W1测试副本,精确包所有依赖在库，仍能运行；勿删除用户真实W1,not_run,
A10,T04,mixed,跨workspace引用/猜ID/路径注入,访问拒绝且不泄漏原始数据/私有挑战,not_run,
A11,T11,mixed,并存新旧包与撤销,旧绑定不自动升级，撤销禁新run但历史可查,not_run,
A12,T07,mixed,真实受限构建和worker探针,越界/网络/资源/后代取消限制全部有效,not_run,
A13,T06,mixed,新公开Tool+服务依赖,无需改MCP业务，缺依赖/环拒绝，两个worker无共享内存,not_run,
A14,T12,mixed,画布对应run/组合/W2,类型/单位/环拒绝，移动仅view hash，草稿不改变运行快照,not_run,
A15,T14,mixed,多故障点终止与重启,不生成半成功、不重复消费批准、不覆盖新用户修改,not_run,
A16,T10,mixed,检索公开和私有证据,源/平台/输入/结果追踪；public无oracle，不把未评估当零,not_run,
A17,T14,mixed,库/workspace独立备份换目录还原,DB/引用/字节hash正确，其他workspace不被复制,not_run,
A18,T18,mixed,物理声音最终产品,P01–P10真实证据完整；静态GUI/WAV/空壳不足,not_run,
P01,T15,automated,specs/12-physical-audio.md 的精确步骤与阈值,方程、边界、激励、输出与近似文档完整,not_run,
P02,T15,automated,specs/12-physical-audio.md 的精确步骤与阈值,零初态和非法输入；state不变,not_run,
P03,T15,automated,specs/12-physical-audio.md 的精确步骤与阈值,独立解析对照和无阻尼能量误差达阈值,not_run,
P04,T15,automated,specs/12-physical-audio.md 的精确步骤与阈值,阻尼能量观测，不要求样本单调,not_run,
P05,T15,automated,specs/12-physical-audio.md 的精确步骤与阈值,拨弦投影/偶模态/线性缩放,not_run,
P06,T17,automated,specs/12-physical-audio.md 的精确步骤与阈值,三采样率×三块长同sample事件一致,not_run,
P07,T17,manual,specs/12-physical-audio.md 的精确步骤与阈值,GUI、10min性能、设备重启与状态恢复实测,not_run,
P08,T17,manual,specs/12-physical-audio.md 的精确步骤与阈值,同一VST3在Live和FL分别实测并记录版本,not_run,
P09,T17,manual,specs/12-physical-audio.md 的精确步骤与阈值,关闭Axiom host仍能独立播放,not_run,
P10,T16,automated,specs/12-physical-audio.md 的精确步骤与阈值,新workspace复用固定组合产生另一组参数结果,not_run,
